word,frequency,definition
vertebrates,22.0,"any of a subphylum (Vertebrata) of chordates that comprises animals (such as mammals, birds, reptiles, amphibians, and fishes) typically having a bony or cartilaginous spinal column which replaces the notochord, a distinct head containing a brain which arises as an enlarged part of the nerve cord, and an internal usually bony skeleton and that includes some primitive forms (such as lampreys) in which the spinal column is absent and the notochord persists throughout life"
forelimbs,1.0,"a limb (such as an arm, wing, fin, or leg) that is situated anteriorly"
pigeon,1.0,"any of a widely distributed family (Columbidae, order Columbiformes) of birds with a stout body, rather short legs, and smooth and compact plumage"
peculiar,15.0,"characteristic of only one person, group, or thing distinctive … a drowsy fervour of manner and tone which was quite peculiar to her.— Thomas Hardy"
shuttlecock,14.0,a lightweight conical object with a rounded often rubber-covered nose that is used in badminton
hissing,1.0,to make a sharp sibilant sound
jeering,1.0,to speak or cry out with derision or mockery
dismissal,10.0,the act of dismissing the fact or state of being dismissed
rolled,7.0,a written document that may be rolled up scroll
stuffing,3.0,material used to stuff or fillsuch as
rocket,14.0,any of several plants of the mustard familysuch as
satellite,11.0,a celestial body orbiting another of larger size
obscene,6.0,disgusting to the senses repulsive
birdie,1.0,a little bird
ridiculous,7.0,"arousing or deserving ridicule extremely silly or unreasonable absurd, preposterous"
habitats,2.0,the place or environment where a plant or animal naturally or normally lives and grows
Larry,2.0,a long-handled hoe usually with a perforated blade that is used especially for mixing mortar
Joe,1.0,"fellow, guy an average joe"
lays,14.0,to beat or strike down with force
emergence,3.0,the act or an instance of emerging
lineage,14.0,descent in a line from a common progenitor
extraction,6.0,the act or process of extracting something
searching,12.0,to look into or over carefully or thoroughly in an effort to find or discover somethingsuch as
biting,27.0,having the power to bite
replaceable,1.0,to restore to a former place or position
drilling,4.0,drill entry 6
boring,18.0,causing weariness and restlessness through lack of interest causing boredom tiresome a boring lecture
tongs,1.0,any of numerous grasping devices consisting commonly of two pieces joined at one end by a pivot or hinged like scissors
pincers,1.0,an instrument having two short handles and two grasping jaws working on a pivot and used for gripping things
bitten,3.0,"to seize especially with teeth or jaws so as to enter, grip, or wound"
bridle,3.0,the headgear with which a horse is governed and which carries a bit (see bit entry 1 sense 2a) and reins
inserted,23.0,to put or thrust in
rimmed,1.0,having a rim
cigar,7.0,a small roll of tobacco leaf for smoking
holder,27.0,a person that holdssuch as
curbs,3.0,a bit that exerts severe pressure on a horse's jaws
enters,14.0,to go or come in
bolt,17.0,a lightning stroke
tumblers,1.0,one that tumblessuch as
tumbler,2.0,one that tumblessuch as
delicacy,8.0,something pleasing to eat that is considered rare or luxurious
denomination,13.0,an act of denominating the denomination of prices in U.S. dollars
cents,12.0,"a monetary unit equal to ¹/₁₀₀ of a basic unit of value (such as dollar, euro, rand) — see birr, dollar, euro, leone, lilangeni, nakfa, rand, rupee, shilling at Money Table"
bits,15.0,the biting or cutting edge or part of a tool
unimportant,11.0,"lacking in importance not important minor, trivial unimportant details a relatively unimportant problem"
routine,15.0,a regular course of procedure
totally,18.0,"in a total manner to a total or complete degree wholly, entirely"
thrilled,1.0,extremely pleased and excited
alternatives,7.0,offering or expressing a choice
magnetized,7.0,to induce magnetic properties in
gradually,56.0,"moving, changing, or developing by fine or often imperceptible degrees"
Bit,1.0,the biting or cutting edge or part of a tool
choices,10.0,the act of choosing selection finding it hard to make a choice
grip,31.0,to seize or hold firmly
pierce,35.0,to run into or through as a pointed weapon does stab
fang,8.0,a long sharp toothsuch as
proboscis,4.0,the trunk of an elephant
mosquitoes,6.0,any of a family (Culicidae) of dipteran flies with females that have a set of slender organs in the proboscis adapted to puncture the skin of animals and to suck their blood and that are in some cases vectors of serious diseases
edged,3.0,"having a specified kind of edge, boundary, or border or a specified number of edges rough-edged two-edged"
stinging,18.0,to prick painfullysuch as
discomfort,43.0,mental or physical uneasiness annoyance
smarting,3.0,"having or showing a high degree of mental ability intelligent, bright a smart young student a smart decision/investment/idea That wasn't a very smart thing to do. The pursuit of genius or at least being the smartest person in the room continues to tantalize humans.— Lydia Dishman"
corrode,5.0,to eat away by degrees as if by gnawing
bait,14.0,"to persecute or exasperate with unjust, malicious, or persistent attacks"
stink,6.0,to emit a strong offensive odor
bites,2.0,"to seize especially with teeth or jaws so as to enter, grip, or wound"
reluctance,3.0,the quality or state of being reluctant
resignation,3.0,an act or instance of resigning something surrender
humiliation,4.0,to reduce (someone) to a lower position in one's own eyes or others' eyes to make (someone) ashamed or embarrassed mortify hoped they wouldn't humiliate themselves in their next game accused her of humiliating him in public feel so humiliated
benefactor,3.0,someone or something that provides help or an advantage one that confers a benefit a benefactor of humankind
maliciously,3.0,"having or showing a desire to cause harm to someone given to, marked by, or arising from malice malicious gossip"
occlusion,11.0,the act of occluding the state of being occludedsuch as
morsel,2.0,a small piece of food bite
snack,3.0,a light meal food eaten between regular meals
sharper,3.0,cheat sense 2
friction,22.0,the rubbing of one body against another
purchase,62.0,to obtain by paying money or its equivalent buy
obtained,92.0,to gain or attain usually by planned action or effort
incisive,3.0,impressively direct and decisive (as in manner or presentation)
penetrating,22.0,"having the power of entering, piercing, or pervading"
etcher,3.0,"to produce (something, such as a pattern or design) on a hard material by eating into the material's surface (as by acid or laser beam)"
corrosive,2.0,tending or having the power to corrode corrosive acids corrosive action the corrosive effects of alcoholism
15,21.0,a number that is one more than fourteen — see Table of Numbers
